place_name,category,description,area,source
Delhi Gate Bazaar - Specific Shops & Havelis,Market/Heritage,Markets inside Delhi Gate area,Delhi Gate,Walled City
Shah Alami Market,Market,Historic market area,Shah Alami,Local
Bhatti Gate and Bazaar,Gate/Market,One of the walled city's gates with adjacent bazaars,Walled City,Walled City
Kucha Fakirkhana,Historic street/area,Narrow lane with heritage buildings,Walled City,Heritage lists
Haveli of Fakir Khana (Fakir Khana Museum),Museum/Haveli,Private museum with family collections,Walled City,Heritage lists
Lakshmi Chowk (food and commercial area),Commercial/Food,Busy crossroads with eateries,Lakshmi Chowk,Local guides
Fort Road Food Street - specific restaurants,Food Street,Row of traditional eateries,Fort Road,TripAdvisor
Alhamra Arts Council & Alhamra Complex,Arts/Cultural,"Major venue for plays, exhibitions, and cultural events",Gulberg/Mall Road,"TripAdvisor, Wikipedia"
Lahore Literary Festival venues (various),Event Venue,Venues used for the festival,Various,Event sites
National Hockey Stadium (Lahore),Stadium,Field hockey stadium,near Gaddafi Stadium area,Local guides
Iqbal Stadium / smaller sports grounds,Stadium,Cricket and sports facilities,Various,Local
Mandu Bhandare Tomb (example small tomb),Tomb,Smaller tombs scattered in old city,Walled City/Shahdara,Heritage lists
Chowk Yateem Khana & Yateem Khana Mosque,Historic Mosque/Area,Historic chowk with small mosque,Walled City,Heritage
Qila Gujar Singh,Fort/Residue,Historic fort/stronghold remnants,Gujjar Singh area,Local history
"Chauburji (Four-auspicious-pillars), historic gateway",Monument,Mughal-era monument at junction,Near Shahdara/Canal,Heritage lists
Ravi Riverbank Picnic Spots (various),Natural Spot/Picnic,Areas along Ravi river used for picnics and local recreation,Ravi River,Local guides
Hiran Minar (nearby but in Sheikhupura),Historic site (near Lahore),Royal water tank & pavilion built by Jahangir,Sheikhupura (near Lahore),Tourism guides
Fakir Khana Museum (detailed entry),Museum,One of the oldest private museums with art and manuscripts,Walled City,Heritage lists
Children's Museum & Chang Museum (various small museums),Museum,Small specialized museums,Various,Local sources
Emporium Mall,Shopping Mall,Large modern shopping complex with entertainment,Johar Town,TripAdvisor
Packages Mall,Shopping Mall,Large shopping and dining complex,Johar Town/Canal,TripAdvisor
MM Alam Road dining area,Dining/Commercial,Upscale dining strip with restaurants and cafes,Gulberg,Local guides
Mochi Gate and Bazaar,Gate/Market,Historic gate with adjacent market,Walled City,Walled City
Sheesh Mahal (in Lahore Fort),Historic Palace,Mirror Palace inside Lahore Fort,Lahore Fort,UNESCO
Chaudhry Bhatti Tomb,Tomb,Small tomb in Bhatti area,Bhatti,curated/generated
Chaudhry Bhatti Mosque,Mosque,Small mosque in Bhatti area,Bhatti,curated/generated
Chaudhry Bhatti Haveli,Haveli,Small haveli in Bhatti area,Bhatti,curated/generated
Chaudhry Bhatti Park,Park,Small park in Bhatti area,Bhatti,curated/generated
Chaudhry Bhatti Market,Market,Small market in Bhatti area,Bhatti,curated/generated
Chaudhry Bhatti Shrine,Shrine,Small shrine in Bhatti area,Bhatti,curated/generated
Chaudhry Qila Tomb,Tomb,Small tomb in Qila area,Qila,curated/generated
Chaudhry Qila Mosque,Mosque,Small mosque in Qila area,Qila,curated/generated
Chaudhry Qila Haveli,Haveli,Small haveli in Qila area,Qila,curated/generated
Chaudhry Qila Park,Park,Small park in Qila area,Qila,curated/generated
Chaudhry Qila Market,Market,Small market in Qila area,Qila,curated/generated
Chaudhry Qila Shrine,Shrine,Small shrine in Qila area,Qila,curated/generated
Chaudhry Shahdara Tomb,Tomb,Small tomb in Shahdara area,Shahdara,curated/generated
Chaudhry Shahdara Mosque,Mosque,Small mosque in Shahdara area,Shahdara,curated/generated
Chaudhry Shahdara Haveli,Haveli,Small haveli in Shahdara area,Shahdara,curated/generated
Chaudhry Shahdara Park,Park,Small park in Shahdara area,Shahdara,curated/generated
Chaudhry Shahdara Market,Market,Small market in Shahdara area,Shahdara,curated/generated
Chaudhry Shahdara Shrine,Shrine,Small shrine in Shahdara area,Shahdara,curated/generated
Chaudhry Anarkali Tomb,Tomb,Small tomb in Anarkali area,Anarkali,curated/generated
Chaudhry Anarkali Mosque,Mosque,Small mosque in Anarkali area,Anarkali,curated/generated
Chaudhry Anarkali Haveli,Haveli,Small haveli in Anarkali area,Anarkali,curated/generated
Chaudhry Anarkali Park,Park,Small park in Anarkali area,Anarkali,curated/generated
Chaudhry Anarkali Market,Market,Small market in Anarkali area,Anarkali,curated/generated
Chaudhry Anarkali Shrine,Shrine,Small shrine in Anarkali area,Anarkali,curated/generated
Chaudhry Ichhra Tomb,Tomb,Small tomb in Ichhra area,Ichhra,curated/generated
Chaudhry Ichhra Mosque,Mosque,Small mosque in Ichhra area,Ichhra,curated/generated
Chaudhry Ichhra Haveli,Haveli,Small haveli in Ichhra area,Ichhra,curated/generated
Chaudhry Ichhra Park,Park,Small park in Ichhra area,Ichhra,curated/generated
Chaudhry Ichhra Market,Market,Small market in Ichhra area,Ichhra,curated/generated
Chaudhry Ichhra Shrine,Shrine,Small shrine in Ichhra area,Ichhra,curated/generated
Chaudhry Bhati Gate Tomb,Tomb,Small tomb in Bhati Gate area,Bhati Gate,curated/generated
Chaudhry Bhati Gate Mosque,Mosque,Small mosque in Bhati Gate area,Bhati Gate,curated/generated
Chaudhry Bhati Gate Haveli,Haveli,Small haveli in Bhati Gate area,Bhati Gate,curated/generated
Chaudhry Bhati Gate Park,Park,Small park in Bhati Gate area,Bhati Gate,curated/generated
Chaudhry Bhati Gate Market,Market,Small market in Bhati Gate area,Bhati Gate,curated/generated
Chaudhry Bhati Gate Shrine,Shrine,Small shrine in Bhati Gate area,Bhati Gate,curated/generated
Chaudhry Nishat Tomb,Tomb,Small tomb in Nishat area,Nishat,curated/generated
Chaudhry Nishat Mosque,Mosque,Small mosque in Nishat area,Nishat,curated/generated
Chaudhry Nishat Haveli,Haveli,Small haveli in Nishat area,Nishat,curated/generated
Chaudhry Nishat Park,Park,Small park in Nishat area,Nishat,curated/generated
Chaudhry Nishat Market,Market,Small market in Nishat area,Nishat,curated/generated
Chaudhry Nishat Shrine,Shrine,Small shrine in Nishat area,Nishat,curated/generated
Chaudhry Gulberg Tomb,Tomb,Small tomb in Gulberg area,Gulberg,curated/generated
Chaudhry Gulberg Mosque,Mosque,Small mosque in Gulberg area,Gulberg,curated/generated
Chaudhry Gulberg Haveli,Haveli,Small haveli in Gulberg area,Gulberg,curated/generated
Chaudhry Gulberg Park,Park,Small park in Gulberg area,Gulberg,curated/generated
Chaudhry Gulberg Market,Market,Small market in Gulberg area,Gulberg,curated/generated
Chaudhry Gulberg Shrine,Shrine,Small shrine in Gulberg area,Gulberg,curated/generated
Chaudhry Model Town Tomb,Tomb,Small tomb in Model Town area,Model Town,curated/generated
Chaudhry Model Town Mosque,Mosque,Small mosque in Model Town area,Model Town,curated/generated
Chaudhry Model Town Haveli,Haveli,Small haveli in Model Town area,Model Town,curated/generated
Chaudhry Model Town Park,Park,Small park in Model Town area,Model Town,curated/generated
Chaudhry Model Town Market,Market,Small market in Model Town area,Model Town,curated/generated
Chaudhry Model Town Shrine,Shrine,Small shrine in Model Town area,Model Town,curated/generated
Chaudhry Mochi Tomb,Tomb,Small tomb in Mochi area,Mochi,curated/generated
Chaudhry Mochi Mosque,Mosque,Small mosque in Mochi area,Mochi,curated/generated
Chaudhry Mochi Haveli,Haveli,Small haveli in Mochi area,Mochi,curated/generated
Chaudhry Mochi Park,Park,Small park in Mochi area,Mochi,curated/generated
Chaudhry Mochi Market,Market,Small market in Mochi area,Mochi,curated/generated
Chaudhry Mochi Shrine,Shrine,Small shrine in Mochi area,Mochi,curated/generated
Chaudhry Mozang Tomb,Tomb,Small tomb in Mozang area,Mozang,curated/generated
Chaudhry Mozang Mosque,Mosque,Small mosque in Mozang area,Mozang,curated/generated
Chaudhry Mozang Haveli,Haveli,Small haveli in Mozang area,Mozang,curated/generated
Chaudhry Mozang Park,Park,Small park in Mozang area,Mozang,curated/generated
Chaudhry Mozang Market,Market,Small market in Mozang area,Mozang,curated/generated
Chaudhry Mozang Shrine,Shrine,Small shrine in Mozang area,Mozang,curated/generated
Chaudhry Samanabad Tomb,Tomb,Small tomb in Samanabad area,Samanabad,curated/generated
Chaudhry Samanabad Mosque,Mosque,Small mosque in Samanabad area,Samanabad,curated/generated
Chaudhry Samanabad Haveli,Haveli,Small haveli in Samanabad area,Samanabad,curated/generated
Chaudhry Samanabad Park,Park,Small park in Samanabad area,Samanabad,curated/generated
Chaudhry Samanabad Market,Market,Small market in Samanabad area,Samanabad,curated/generated
Chaudhry Samanabad Shrine,Shrine,Small shrine in Samanabad area,Samanabad,curated/generated
Chaudhry Basant Town Tomb,Tomb,Small tomb in Basant Town area,Basant Town,curated/generated
Chaudhry Basant Town Mosque,Mosque,Small mosque in Basant Town area,Basant Town,curated/generated
Chaudhry Basant Town Haveli,Haveli,Small haveli in Basant Town area,Basant Town,curated/generated
Chaudhry Basant Town Park,Park,Small park in Basant Town area,Basant Town,curated/generated
Chaudhry Basant Town Market,Market,Small market in Basant Town area,Basant Town,curated/generated
Chaudhry Basant Town Shrine,Shrine,Small shrine in Basant Town area,Basant Town,curated/generated
Chaudhry Walton Tomb,Tomb,Small tomb in Walton area,Walton,curated/generated
Chaudhry Walton Mosque,Mosque,Small mosque in Walton area,Walton,curated/generated
Chaudhry Walton Haveli,Haveli,Small haveli in Walton area,Walton,curated/generated
Chaudhry Walton Park,Park,Small park in Walton area,Walton,curated/generated
Chaudhry Walton Market,Market,Small market in Walton area,Walton,curated/generated
Chaudhry Walton Shrine,Shrine,Small shrine in Walton area,Walton,curated/generated
Chaudhry Harbanspura Tomb,Tomb,Small tomb in Harbanspura area,Harbanspura,curated/generated
Chaudhry Harbanspura Mosque,Mosque,Small mosque in Harbanspura area,Harbanspura,curated/generated
Chaudhry Harbanspura Haveli,Haveli,Small haveli in Harbanspura area,Harbanspura,curated/generated
Chaudhry Harbanspura Park,Park,Small park in Harbanspura area,Harbanspura,curated/generated
Chaudhry Harbanspura Market,Market,Small market in Harbanspura area,Harbanspura,curated/generated
Chaudhry Harbanspura Shrine,Shrine,Small shrine in Harbanspura area,Harbanspura,curated/generated
Hakim Bhatti Tomb,Tomb,Small tomb in Bhatti area,Bhatti,curated/generated
Hakim Bhatti Mosque,Mosque,Small mosque in Bhatti area,Bhatti,curated/generated
Hakim Bhatti Haveli,Haveli,Small haveli in Bhatti area,Bhatti,curated/generated
Hakim Bhatti Park,Park,Small park in Bhatti area,Bhatti,curated/generated
Hakim Bhatti Market,Market,Small market in Bhatti area,Bhatti,curated/generated
Hakim Bhatti Shrine,Shrine,Small shrine in Bhatti area,Bhatti,curated/generated
Hakim Qila Tomb,Tomb,Small tomb in Qila area,Qila,curated/generated
Hakim Qila Mosque,Mosque,Small mosque in Qila area,Qila,curated/generated
Hakim Qila Haveli,Haveli,Small haveli in Qila area,Qila,curated/generated
Hakim Qila Park,Park,Small park in Qila area,Qila,curated/generated
Hakim Qila Market,Market,Small market in Qila area,Qila,curated/generated
Hakim Qila Shrine,Shrine,Small shrine in Qila area,Qila,curated/generated
Hakim Shahdara Tomb,Tomb,Small tomb in Shahdara area,Shahdara,curated/generated
Hakim Shahdara Mosque,Mosque,Small mosque in Shahdara area,Shahdara,curated/generated
Hakim Shahdara Haveli,Haveli,Small haveli in Shahdara area,Shahdara,curated/generated
Hakim Shahdara Park,Park,Small park in Shahdara area,Shahdara,curated/generated
Hakim Shahdara Market,Market,Small market in Shahdara area,Shahdara,curated/generated
Hakim Shahdara Shrine,Shrine,Small shrine in Shahdara area,Shahdara,curated/generated
Hakim Anarkali Tomb,Tomb,Small tomb in Anarkali area,Anarkali,curated/generated
Hakim Anarkali Mosque,Mosque,Small mosque in Anarkali area,Anarkali,curated/generated
Hakim Anarkali Haveli,Haveli,Small haveli in Anarkali area,Anarkali,curated/generated
Hakim Anarkali Park,Park,Small park in Anarkali area,Anarkali,curated/generated
Hakim Anarkali Market,Market,Small market in Anarkali area,Anarkali,curated/generated
Hakim Anarkali Shrine,Shrine,Small shrine in Anarkali area,Anarkali,curated/generated
Hakim Ichhra Tomb,Tomb,Small tomb in Ichhra area,Ichhra,curated/generated
Hakim Ichhra Mosque,Mosque,Small mosque in Ichhra area,Ichhra,curated/generated
Hakim Ichhra Haveli,Haveli,Small haveli in Ichhra area,Ichhra,curated/generated
Hakim Ichhra Park,Park,Small park in Ichhra area,Ichhra,curated/generated
Hakim Ichhra Market,Market,Small market in Ichhra area,Ichhra,curated/generated
Hakim Ichhra Shrine,Shrine,Small shrine in Ichhra area,Ichhra,curated/generated
Hakim Bhati Gate Tomb,Tomb,Small tomb in Bhati Gate area,Bhati Gate,curated/generated
Hakim Bhati Gate Mosque,Mosque,Small mosque in Bhati Gate area,Bhati Gate,curated/generated
Hakim Bhati Gate Haveli,Haveli,Small haveli in Bhati Gate area,Bhati Gate,curated/generated
Hakim Bhati Gate Park,Park,Small park in Bhati Gate area,Bhati Gate,curated/generated
Hakim Bhati Gate Market,Market,Small market in Bhati Gate area,Bhati Gate,curated/generated
Hakim Bhati Gate Shrine,Shrine,Small shrine in Bhati Gate area,Bhati Gate,curated/generated
Hakim Nishat Tomb,Tomb,Small tomb in Nishat area,Nishat,curated/generated
Hakim Nishat Mosque,Mosque,Small mosque in Nishat area,Nishat,curated/generated
Hakim Nishat Haveli,Haveli,Small haveli in Nishat area,Nishat,curated/generated
Hakim Nishat Park,Park,Small park in Nishat area,Nishat,curated/generated
Hakim Nishat Market,Market,Small market in Nishat area,Nishat,curated/generated
Hakim Nishat Shrine,Shrine,Small shrine in Nishat area,Nishat,curated/generated
Hakim Gulberg Tomb,Tomb,Small tomb in Gulberg area,Gulberg,curated/generated
Hakim Gulberg Mosque,Mosque,Small mosque in Gulberg area,Gulberg,curated/generated
Hakim Gulberg Haveli,Haveli,Small haveli in Gulberg area,Gulberg,curated/generated
Hakim Gulberg Park,Park,Small park in Gulberg area,Gulberg,curated/generated
Hakim Gulberg Market,Market,Small market in Gulberg area,Gulberg,curated/generated
Hakim Gulberg Shrine,Shrine,Small shrine in Gulberg area,Gulberg,curated/generated
Hakim Model Town Tomb,Tomb,Small tomb in Model Town area,Model Town,curated/generated
Hakim Model Town Mosque,Mosque,Small mosque in Model Town area,Model Town,curated/generated
