intent,example_question,response,category,tags,source
nearby_restaurants,How to find nearby restaurants at Bagh-e-Jinnah?,Several restaurants and cafes are located near Bagh-e-Jinnah; use mapping apps or ask locals for current top picks.,poi,Bagh-e-Jinnah,generated/poi_specific
poi_hours,How to find poi hours at Walled City?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Walled_City,generated/poi_specific
connectivity_internet,Are there any connectivity internet in Lahore?,Mobile internet is widely available (4G). Major Pakistani telecoms operate in Lahore; buy a local SIM at the airport or markets if needed.,connectivity,"connectivity,internet",generated/authoritative_general
nearby_restaurants,Tell me about Shalimar Gardens nearby restaurants.,Several restaurants and cafes are located near Shalimar Gardens; use mapping apps or ask locals for current top picks.,poi,Shalimar_Gardens,generated/poi_specific
emergency_numbers,Tell me about the emergency numbers in Lahore.,"Important numbers: Police 15, Ambulance/Rescue 1122, Fire 16 (confirm locally). Save local embassy numbers if traveling internationally.",emergency,"emergency,numbers",generated/authoritative_general
poi_hours,Tell me about Gaddafi Stadium poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Gaddafi_Stadium,generated/poi_specific
how_safe_is_lahore,I want to know how safe is lahore please.,"Lahore is generally safe for tourists, but exercise usual precautions: avoid isolated areas at night, keep belongings secure, and use registered taxis or ride-hailing apps.",travel_faq,"safety,food,services",generated/traveler_faqs
family_activities,What is the family activities in Lahore?,"Family-friendly activities include boat rides at Jilani Park, pony rides in Model Town (seasonal), visiting family-friendly restaurants, and parks like Bagh-e-Jinnah.",family,"family,activities",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Fort Road Food Street?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Fort_Road_Food_Street,generated/poi_specific
nearby_restaurants,What are the nearby restaurants for Liberty Market?,Several restaurants and cafes are located near Liberty Market; use mapping apps or ask locals for current top picks.,poi,Liberty_Market,generated/poi_specific
poi_hours,Tell me about Mall Road poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Mall_Road,generated/poi_specific
poi_entry_fee,What are the poi entry fee for Mall Road?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Mall_Road,generated/poi_specific
poi_best_time,Tell me about Packages Mall poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Packages_Mall,generated/poi_specific
nightlife_and_dining,Where is nightlife and dining?,Nightlife centers around dining�MM Alam Road and Gulberg have late-night restaurants; cultural evening events happen near the Fort and food streets.,nightlife,"nightlife,and,dining",generated/authoritative_general
poi_hours,Tell me about Gulberg poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Gulberg,generated/poi_specific
nearby_restaurants,Tell me about Lahore Fort nearby restaurants.,Several restaurants and cafes are located near Lahore Fort; use mapping apps or ask locals for current top picks.,poi,Lahore_Fort,generated/poi_specific
parking_nearby,How to find parking nearby at Gulberg?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Gulberg,generated/poi_specific
poi_best_time,What are the poi best time for Anarkali?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Anarkali,generated/poi_specific
pet_friendly_policies,What is the pet friendly policies in Lahore?,Many hotels do not allow pets; some private accommodations may. Check property policy before booking.,pet,"pet,friendly,policies",generated/authoritative_general
are_guided_tours_available,Give me info about are guided tours available.,"Yes, guided walking tours of the Walled City, food tours, and private guide services are available; book in advance during peak season.",travel_faq,"safety,food,services",generated/traveler_faqs
poi_entry_fee,How to find poi entry fee at Data Darbar?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Data_Darbar,generated/poi_specific
is_wifi_available,Can you tell me is wifi available?,"Wi-Fi is commonly available in hotels, cafes, and malls. Mobile internet (4G) is widely available with local SIMs.",travel_faq,"safety,food,services",generated/traveler_faqs
connectivity_internet,Tell me about the connectivity internet in Lahore.,Mobile internet is widely available (4G). Major Pakistani telecoms operate in Lahore; buy a local SIM at the airport or markets if needed.,connectivity,"connectivity,internet",generated/authoritative_general
covid_and_health,Tell me about the covid and health in Lahore.,Check local health advisories and vaccination requirements. Carry basic meds and consult travel health guidance before visiting.,covid,"covid,and,health",generated/authoritative_general
parking_nearby,What are the parking nearby for Jilani Park?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Jilani_Park,generated/poi_specific
poi_best_time,How to find poi best time at Shalimar Gardens?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Shalimar_Gardens,generated/poi_specific
ticketing_and_timings,What is the ticketing and timings in Lahore?,"Many attractions have entry fees and opening hours (e.g., Lahore Fort, Badshahi Mosque). Check official sites or onsite signage for current timings and ticket prices.",ticketing,"ticketing,and,timings",generated/authoritative_general
shopping_spots,shopping spots,"Shopping: Liberty Market, Anarkali Bazaar, Fortress Stadium, Mall Road for souvenirs, and modern malls like Packages Mall and Emporium Mall.",shopping,"shopping,spots",generated/authoritative_general
poi_hours,What are the poi hours for Wagah Border?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Wagah_Border,generated/poi_specific
historical_places_list,historical places list,"Key historical places: Lahore Fort (Shahi Qila), Badshahi Mosque, Wazir Khan Mosque, Shalimar Gardens, Jahangir's Tomb, Hazuri Bagh, and the Walled City landmarks.",historical,"historical,places,list",generated/authoritative_general
poi_best_time,Tell me about Minar-e-Pakistan poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Minar-e-Pakistan,generated/poi_specific
nearby_restaurants,Tell me about Bagh-e-Jinnah nearby restaurants.,Several restaurants and cafes are located near Bagh-e-Jinnah; use mapping apps or ask locals for current top picks.,poi,Bagh-e-Jinnah,generated/poi_specific
day_trips_from_lahore,What is the day trips from lahore in Lahore?,"Popular day trips: Wagah Border ceremony, Katas Raj Temples (longer), Hiran Minar, and trips to nearby national parks or Islamabad/Rawalpindi.",day,"day,trips,from",generated/authoritative_general
local_customs,Are there any local customs in Lahore?,"Respect local dress codes in religious sites, ask permission before photos of people, and learn simple greetings like 'Assalamualaikum'.",local,"local,customs",generated/authoritative_general
poi_entry_fee,Tell me about Wagah Border poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Wagah_Border,generated/poi_specific
photography_policies,photography policies,Some heritage sites restrict photography or require a fee for professional photography. Always check onsite rules.,photography,"photography,policies",generated/authoritative_general
poi_hours,What are the poi hours for Gaddafi Stadium?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Gaddafi_Stadium,generated/poi_specific
poi_best_time,How to find poi best time at Emporium Mall?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Emporium_Mall,generated/poi_specific
historical_places_list,Are there any historical places list in Lahore?,"Key historical places: Lahore Fort (Shahi Qila), Badshahi Mosque, Wazir Khan Mosque, Shalimar Gardens, Jahangir's Tomb, Hazuri Bagh, and the Walled City landmarks.",historical,"historical,places,list",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Allama Iqbal Airport?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Allama_Iqbal_Airport,generated/poi_specific
nearby_restaurants,Tell me about Data Darbar nearby restaurants.,Several restaurants and cafes are located near Data Darbar; use mapping apps or ask locals for current top picks.,poi,Data_Darbar,generated/poi_specific
nearby_restaurants,How to find nearby restaurants at Ichhra Bazaar?,Several restaurants and cafes are located near Ichhra Bazaar; use mapping apps or ask locals for current top picks.,poi,Ichhra_Bazaar,generated/poi_specific
parking_nearby,Tell me about Packages Mall parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Packages_Mall,generated/poi_specific
poi_best_time,Tell me about Data Darbar poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Data_Darbar,generated/poi_specific
poi_best_time,How to find poi best time at Data Darbar?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Data_Darbar,generated/poi_specific
poi_hours,How to find poi hours at Lahore Fort?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Lahore_Fort,generated/poi_specific
poi_entry_fee,Tell me about Liberty Market poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Liberty_Market,generated/poi_specific
covid_and_health,What is the covid and health in Lahore?,Check local health advisories and vaccination requirements. Carry basic meds and consult travel health guidance before visiting.,covid,"covid,and,health",generated/authoritative_general
local_customs,What is the local customs in Lahore?,"Respect local dress codes in religious sites, ask permission before photos of people, and learn simple greetings like 'Assalamualaikum'.",local,"local,customs",generated/authoritative_general
parking_nearby,How to find parking nearby at Emporium Mall?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Emporium_Mall,generated/poi_specific
poi_best_time,How to find poi best time at Gaddafi Stadium?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Gaddafi_Stadium,generated/poi_specific
poi_entry_fee,How to find poi entry fee at Gaddafi Stadium?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Gaddafi_Stadium,generated/poi_specific
nearby_restaurants,What are the nearby restaurants for Bagh-e-Jinnah?,Several restaurants and cafes are located near Bagh-e-Jinnah; use mapping apps or ask locals for current top picks.,poi,Bagh-e-Jinnah,generated/poi_specific
poi_entry_fee,How to find poi entry fee at Emporium Mall?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Emporium_Mall,generated/poi_specific
nearby_restaurants,How to find nearby restaurants at Shalimar Gardens?,Several restaurants and cafes are located near Shalimar Gardens; use mapping apps or ask locals for current top picks.,poi,Shalimar_Gardens,generated/poi_specific
day_trips_from_lahore,Tell me about the day trips from lahore in Lahore.,"Popular day trips: Wagah Border ceremony, Katas Raj Temples (longer), Hiran Minar, and trips to nearby national parks or Islamabad/Rawalpindi.",day,"day,trips,from",generated/authoritative_general
visa_on_arrival_info,Tell me about the visa on arrival info in Lahore.,Visa-on-arrival rules change often�always verify on Pakistan's official e-visa portal before travel.,visa,"visa,on,arrival",generated/authoritative_general
poi_best_time,What are the poi best time for Packages Mall?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Packages_Mall,generated/poi_specific
nearby_restaurants,Tell me about Allama Iqbal Airport nearby restaurants.,Several restaurants and cafes are located near Allama Iqbal Airport; use mapping apps or ask locals for current top picks.,poi,Allama_Iqbal_Airport,generated/poi_specific
shopping_bargaining,Tell me about the shopping bargaining in Lahore.,Bargaining is common in bazaars like Anarkali; expect to negotiate prices for handicrafts and textiles.,shopping,"shopping,bargaining",generated/authoritative_general
poi_best_time,How to find poi best time at MM Alam Road?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,MM_Alam_Road,generated/poi_specific
shopping_bargaining,Are there any shopping bargaining in Lahore?,Bargaining is common in bazaars like Anarkali; expect to negotiate prices for handicrafts and textiles.,shopping,"shopping,bargaining",generated/authoritative_general
water_and_food_safety,What is the water and food safety in Lahore?,Use bottled or filtered water; street food is delicious but choose busy stalls with high turnover for hygiene.,water,"water,and,food",generated/authoritative_general
best_time_to_visit,What is the best time to visit in Lahore?,"The best time to visit Lahore is from October to March for pleasant weather; avoid extreme summer heat. For festivals and cultural events, check local calendars.",best,"best,time,to",generated/authoritative_general
weather_now,What is the weather now in Lahore?,Lahore has hot summers (May�Sept) and cool winters (Dec�Feb). Monsoon rains commonly occur Jul�Aug. Always check a live weather service before travel.,weather,"weather,now",generated/authoritative_general
safety_tips,How to get to safety tips?,"General safety tips: keep valuables secure, avoid isolated areas at night, use reputable transport, and follow local advice. Emergency numbers: 15 (police), 1122 (ambulance/rescue).",safety,"safety,tips",generated/authoritative_general
museums_and_galleries,What is the museums and galleries in Lahore?,"Museums: Lahore Museum (Anarkali), National History Museum, Pakistan Air Force Museum (nearby), and various smaller galleries. Check opening hours before visiting.",museums,"museums,and,galleries",generated/authoritative_general
covid_and_health,How to get to covid and health?,Check local health advisories and vaccination requirements. Carry basic meds and consult travel health guidance before visiting.,covid,"covid,and,health",generated/authoritative_general
historical_places_list,How to get to historical places list?,"Key historical places: Lahore Fort (Shahi Qila), Badshahi Mosque, Wazir Khan Mosque, Shalimar Gardens, Jahangir's Tomb, Hazuri Bagh, and the Walled City landmarks.",historical,"historical,places,list",generated/authoritative_general
ticketing_and_timings,Tell me about the ticketing and timings in Lahore.,"Many attractions have entry fees and opening hours (e.g., Lahore Fort, Badshahi Mosque). Check official sites or onsite signage for current timings and ticket prices.",ticketing,"ticketing,and,timings",generated/authoritative_general
poi_best_time,Tell me about Lahore Fort poi best time.,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Lahore_Fort,generated/poi_specific
visa_on_arrival_info,Where is visa on arrival info?,Visa-on-arrival rules change often�always verify on Pakistan's official e-visa portal before travel.,visa,"visa,on,arrival",generated/authoritative_general
visa_entry_requirements,How to get to visa entry requirements?,Check Pakistan's official visa portal for requirements. Many nationalities require e-visa or visa on arrival depending on agreements�confirm before travel.,visa,"visa,entry,requirements",generated/authoritative_general
ticketing_and_timings,How to get to ticketing and timings?,"Many attractions have entry fees and opening hours (e.g., Lahore Fort, Badshahi Mosque). Check official sites or onsite signage for current timings and ticket prices.",ticketing,"ticketing,and,timings",generated/authoritative_general
poi_entry_fee,Tell me about Jilani Park poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Jilani_Park,generated/poi_specific
nearby_restaurants,Tell me about Gaddafi Stadium nearby restaurants.,Several restaurants and cafes are located near Gaddafi Stadium; use mapping apps or ask locals for current top picks.,poi,Gaddafi_Stadium,generated/poi_specific
poi_hours,Tell me about Allama Iqbal Airport poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Allama_Iqbal_Airport,generated/poi_specific
thanks,appreciate it,You're welcome! Let me know if you need more info.,smalltalk,thanks,generated/smalltalk
poi_best_time,What are the poi best time for MM Alam Road?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,MM_Alam_Road,generated/poi_specific
top_attractions_city,How to get to top attractions city?,"Top attractions in Lahore include the Lahore Fort, Badshahi Mosque, Shalimar Gardens, Minar-e-Pakistan, Walled City (Purani Lahore), and Lahore Museum.",top,"top,attractions,city",generated/authoritative_general
tour_guides_and_tours,How to get to tour guides and tours?,Licensed tour guides operate in the Walled City and major attractions. Guided walking tours of the Walled City and food tours are popular.,tour,"tour,guides,and",generated/authoritative_general
poi_entry_fee,What are the poi entry fee for Badshahi Mosque?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Badshahi_Mosque,generated/poi_specific
street_food_spots,street food spots,"Popular street-food spots include Gawalmandi, Anarkali Bazaar, and Fort Road Food Street for local specialties like nihari, paya, chargha, and halwa puri.",street,"street,food,spots",generated/authoritative_general
poi_hours,How to find poi hours at Packages Mall?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Packages_Mall,generated/poi_specific
poi_entry_fee,What are the poi entry fee for Jilani Park?,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,Jilani_Park,generated/poi_specific
nearby_restaurants,Tell me about Mall Road nearby restaurants.,Several restaurants and cafes are located near Mall Road; use mapping apps or ask locals for current top picks.,poi,Mall_Road,generated/poi_specific
where_to_exchange_currency,Give me info about where to exchange currency.,"Currency exchange is available at the airport, major banks, and exchange kiosks in central markets. Use official counters to avoid scams.",travel_faq,"safety,food,services",generated/traveler_faqs
visa_on_arrival_info,How to get to visa on arrival info?,Visa-on-arrival rules change often�always verify on Pakistan's official e-visa portal before travel.,visa,"visa,on,arrival",generated/authoritative_general
parking_nearby,How to find parking nearby at Bagh-e-Jinnah?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Bagh-e-Jinnah,generated/poi_specific
parking_nearby,Tell me about Gulberg parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Gulberg,generated/poi_specific
parking_nearby,How to find parking nearby at Mall Road?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Mall_Road,generated/poi_specific
how_to_book_tickets,How to get to how to book tickets?,"Buy attraction tickets at counters or via official/reseller websites. For train/air, use official Pakistan Railways and airline sites or trusted booking portals.",how,"how,to,book",generated/authoritative_general
local_customs,Where is local customs?,"Respect local dress codes in religious sites, ask permission before photos of people, and learn simple greetings like 'Assalamualaikum'.",local,"local,customs",generated/authoritative_general
where_to_exchange_currency,Can you tell me where to exchange currency?,"Currency exchange is available at the airport, major banks, and exchange kiosks in central markets. Use official counters to avoid scams.",travel_faq,"safety,food,services",generated/traveler_faqs
poi_hours,Tell me about Anarkali poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Anarkali,generated/poi_specific
how_to_reach_city,Are there any how to reach city in Lahore?,"Lahore is accessible by air (Allama Iqbal Intl Airport), by train (Pakistan Railways), long-distance buses, and highways from Islamabad/Rawalpindi (M-2).",how,"how,to,reach",generated/authoritative_general
poi_hours,Tell me about Jilani Park poi hours.,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Jilani_Park,generated/poi_specific
parking_nearby,Tell me about Liberty Market parking nearby.,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Liberty_Market,generated/poi_specific
language_spoken,How to get to language spoken?,"Urdu and Punjabi are widely spoken; English is common in hotels, restaurants, and tourist services.",language,"language,spoken",generated/authoritative_general
poi_hours,What are the poi hours for Mall Road?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Mall_Road,generated/poi_specific
language_spoken,Are there any language spoken in Lahore?,"Urdu and Punjabi are widely spoken; English is common in hotels, restaurants, and tourist services.",language,"language,spoken",generated/authoritative_general
poi_hours,How to find poi hours at Allama Iqbal Airport?,"Opening hours vary by site; many monuments open between 9:00 AM and 5:00 PM, but check the official site or on-site timings.",poi,Allama_Iqbal_Airport,generated/poi_specific
train_info,How to get to train info?,Pakistan Railways operates trains to Lahore from many cities; check the official Pakistan Railways website or app for schedules and bookings.,train,"train,info",generated/authoritative_general
poi_best_time,What are the poi best time for Ichhra Bazaar?,"Visit early morning or late afternoon to avoid heat and crowds; for photography, golden hour is ideal.",poi,Ichhra_Bazaar,generated/poi_specific
poi_entry_fee,Tell me about MM Alam Road poi entry fee.,Some sites have nominal entry fees for adults and separate fees for foreigners; check the official ticket counter for exact rates.,poi,MM_Alam_Road,generated/poi_specific
covid_and_health,Are there any covid and health in Lahore?,Check local health advisories and vaccination requirements. Carry basic meds and consult travel health guidance before visiting.,covid,"covid,and,health",generated/authoritative_general
parking_nearby,How to find parking nearby at Fort Road Food Street?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Fort_Road_Food_Street,generated/poi_specific
where_to_buy_sim,Can you tell me where to buy sim?,SIM cards are sold at the airport and telecom shops; bring your passport for registration.,travel_faq,"safety,food,services",generated/traveler_faqs
day_trips_from_lahore,Are there any day trips from lahore in Lahore?,"Popular day trips: Wagah Border ceremony, Katas Raj Temples (longer), Hiran Minar, and trips to nearby national parks or Islamabad/Rawalpindi.",day,"day,trips,from",generated/authoritative_general
street_food_spots,Are there any street food spots in Lahore?,"Popular street-food spots include Gawalmandi, Anarkali Bazaar, and Fort Road Food Street for local specialties like nihari, paya, chargha, and halwa puri.",street,"street,food,spots",generated/authoritative_general
nearby_restaurants,What are the nearby restaurants for MM Alam Road?,Several restaurants and cafes are located near MM Alam Road; use mapping apps or ask locals for current top picks.,poi,MM_Alam_Road,generated/poi_specific
airport_info,airport info,Allama Iqbal International Airport (LHE) handles domestic and international flights. Allow extra time for immigration and security checks.,airport,"airport,info",generated/authoritative_general
language_spoken,language spoken,"Urdu and Punjabi are widely spoken; English is common in hotels, restaurants, and tourist services.",language,"language,spoken",generated/authoritative_general
is_wifi_available,is wifi available in Lahore?,"Wi-Fi is commonly available in hotels, cafes, and malls. Mobile internet (4G) is widely available with local SIMs.",travel_faq,"safety,food,services",generated/traveler_faqs
best_neighborhoods_to_stay,How to get to best neighborhoods to stay?,"Popular neighborhoods: Gulberg (modern, malls), Liberty/Anarkali (shopping, food), Old City (heritage), DHA (upscale). Choose based on your priorities.",best,"best,neighborhoods,to",generated/authoritative_general
currency_payment,currency payment,Local currency is Pakistani Rupee (PKR). Cash is commonly used; cards accepted at many hotels and restaurants. ATMs are widely available in Lahore.,currency,"currency,payment",generated/authoritative_general
parking_nearby,What are the parking nearby for Mall Road?,Paid parking may be available nearby; old city areas have limited parking so using public transport is recommended.,poi,Mall_Road,generated/poi_specific
airport_info,Are there any airport info in Lahore?,Allama Iqbal International Airport (LHE) handles domestic and international flights. Allow extra time for immigration and security checks.,airport,"airport,info",generated/authoritative_general
nearby_restaurants,What are the nearby restaurants for Mall Road?,Several restaurants and cafes are located near Mall Road; use mapping apps or ask locals for current top picks.,poi,Mall_Road,generated/poi_specific
