Catag,Name ,Address,Address,,Pro,Mobile No,,Lat,Log
Hotel,Hotel Alpine,"M Block Model Town Plot # 38-M, ExtensionØŒ M block Block M Commercial Area Model Town, Lahore, Punjab 54700","ExtensionØŒ M block Block M Commercial Area Model Town, Lahore",54700,Punjab,4235168401,,31.4807616,74.3106732
Hotel,New pakeeza Hotel,"plat# 8, near allah ho chowk, Lahore, 54000",near allah ho chowk,54000,Punjab,3117032444,,31.4684223,74.2975893
Hotel,BnB Hotel,"F8F4+V62ØŒ moon marketØŒ Bilal StreetØŒ Civic CenterØŒ Civic CenterØŒ Commercial Area Faisal Town, Lahore, Punjab 54000",Lahore,54000,Punjab,3249418890,,31.4746494,74.3055212
Hotel,Hotel Tulip Inn,"9 - B Abul Hassan Isfahani Rd, Block B Faisal Town, Lahore, Punjab 54000","Block B Faisal Town, Lahore",54000,Punjab,3214254146,,31.4821346,74.3066242
Hotel,Lotus 1 Hotel,"80 L Model Town Ext, Lahore, Punjab",Lahore,,Punjab,3304242929,,31.4860785,74.305583
Hotel,Shelton House,"54, Block M Gulberg III, Lahore, Punjab 54000","Block M Gulberg III, Lahore",54000,Punjab,3008546304,,31.4925885,74.3392602
Hotel,Exective palace guest house,"75, Shershah Block, New Garden Town Ata Turk Block Garden Town, Lahore, Punjab",Lahore,,Punjab,3315552966,,31.4946023,74.3199211
Hotel,Al Fateh Hotel Lahore,"144 Maulana Shaukat Ali Rd, opp. Jinnah Hospital, Johar Town, Lahore, Punjab 54000","opp. Jinnah Hospital, Johar Town, Lahore",54000,Punjab,3218777749,alfatehhotel@gmail.com,31.4813372,74.2971103
Hotel,Pakeeza One Hotel,"Near SKMH, Plot 324-R2, Johar Town Rd, Block R 2 Phase 2 Johar Town, Lahore, Punjab 54782","Plot 324-R2, Johar Town Rd, Block R 2 Phase 2 Johar Town, Lahore",54782,Punjab,3014274946,,31.45107,74.2717486
Hotel,Moon Palace Hotel,"97 D 2, behind LDA Sports Complex, Block D 2 Phase 1 Johar Town, Lahore, Punjab 54000","behind LDA Sports Complex, Block D 2 Phase 1 Johar Town, Lahore",54000,Punjab,3005254489,,31.4602731,74.2849379
Hotel,"Pindi Rajputan Kot Lakhpat, Lahore, Punjab 53400","Pindi Rajputan Kot Lakhpat, Lahore, Punjab",Lahore,,Punjab,,,31.4664161,74.3243451
Hotel,HOTEL ROSE INN,"4-F, near Allah Hoo Chowk, Block F Phase 1 Johar Town, Lahore, Punjab 54782","near Allah Hoo Chowk, Block F Phase 1 Johar Town, Lahore",54782,Punjab,3215555952,,31.467174,74.2938312
Hotel,Red Fort Hotel Lahore,"389, Block A1 Block A 1 Gulberg III, Lahore, 54000",Block A1 Block A 1 Gulberg III,54000,Punjab,3214333379,,31.5134608,74.3580481
Hotel,The Orchard Hotel,"1-A3, Main Mian Mehmood Ali Kasoori Rd, Lahore, 54660",Main Mian Mehmood Ali Kasoori Rd,54660,Punjab,3008451609,,31.5066454,74.3544396
Hotel,Grand Palace Hotel ( Best Family Hotel in Lahore ),"14 â€“ Aibak Block, Sher Shah RoadØŒ New Garden TownØŒ, Lahore, Punjab 54600","Sher Shah RoadØŒ New Garden TownØŒ, Lahore",54600,Punjab,3004104487,dm-yantai@300.cn,31.4984092,74.3168187
Hotel,Hotel Platinum,"211-B, Commercial Zone Sector C Bahria Town, Lahore, 54000",Commercial Zone Sector C Bahria Town,54000,Punjab,3042253322,,31.3697473,74.1874748
Hotel,Burj Al Bahria Town Luxury Suites,"Plaza 115, Nishtar Block, Lahore",Lahore,,Punjab,3094868183,,31.3579938,74.1850239
Hotel,Bahria Grand Hotel and Resort,"Canal Bank Rd, Executive Lodges Sector B Bahria Town, Lahore, Punjab",Lahore,,Punjab,4235341241,,31.3835491,74.1743335
Hotel,"ALI Luxury  Executive Villas  Suites Near Eiffel Tower - Bahria Town - For families , married people  business people","House 461 St 8, near Eiffel Tower Road, Bahria Homes Violet Block Bahria Town, Lahore, Punjab 53720","near Eiffel Tower Road, Bahria Homes Violet Block Bahria Town, Lahore",53720,Punjab,3205999699,,31.3553038,74.1825267
Hotel,Adara Canal Suites,"19, Dd Block commercial, sector D Bahria Town, Lahore, Punjab 57320","Dd Block commercial, sector D Bahria Town, Lahore",57320,Punjab,3094039907,,31.3744468,74.1644439
Hotel,Siaaaz Hotel  Apartments,"4th Floor, Sumak Center, D-6 Canal Road, 37 Commercial Area Block D DHA EME Sector, Lahore, Punjab 53710","Sumak Center, D-6 Canal Road, 37 Commercial Area Block D DHA EME Sector, Lahore",53710,Punjab,3334409954,,31.4361074,74.2158682
Hotel,Magnum Hotel,"18.B Shaukat Khanum Hospital Rd, Iqbal Avenue Cooperative Housing Society - Phase I Iqbal Avenue Housing Society, Lahore, Punjab 54000","Iqbal Avenue Cooperative Housing Society - Phase I Iqbal Avenue Housing Society, Lahore",54000,Punjab,3338444383,,31.4420368,74.2698621
Hotel,The Pearl Inn - HOTEL,"Plot 317, Block R2 Block R 2 Phase 2 Johar Town, Lahore, Punjab",Lahore,,Punjab,3100040785,,31.4507603,74.2716808
Hotel,Second Home Hotel Lahore,"21ØŒ near KFCØŒ Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54000",Lahore,54000,Punjab,3110281419,info@secondhomes.pk,31.4502843,74.27211
Hotel,Neshaz Hotel  Suites  Restaurant,"260 Haq Road, Block H-2 Block H 2 Phase 2 Johar Town, Lahore, Punjab 54600","Block H-2 Block H 2 Phase 2 Johar Town, Lahore",54600,Punjab,3260999336,,31.4690289,74.2683328
Hotel,Rosewood Hotel Lahore,"391 J 3, Shahrah Nazaria-e-Pakistan, Lahore, 54590",Shahrah Nazaria-e-Pakistan,54590,Punjab,3008483315,rosewoodhotelpk@gmail.com,31.4662091,74.252737
Hotel,Pool And Park Hotel,"3 Shah Alam Rd, Block R Phase 2 Johar Town, Lahore, Punjab 54000","Block R Phase 2 Johar Town, Lahore",54000,Punjab,3214141246,,31.4588451,74.2660293
Hotel,Hotel Johar View,"148, behind Shaukat Khanam Memorial Hospital, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54782","behind Shaukat Khanam Memorial Hospital, Block R3 Block R 3 Phase 2 Johar Town, Lahore",54782,Punjab,3226166665,,31.4497606,74.2733808
Hotel,Royal Pakeeza Hotel,"Plot ,145, Street 146, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54000","Street 146, Block R3 Block R 3 Phase 2 Johar Town, Lahore",54000,Punjab,3014274946,,31.4495365,74.2735185
Hotel,Hotel Deluxe Johar Town Lahore,"104, near Shaukat Khanum Hospital Road, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54000","near Shaukat Khanum Hospital Road, Block R3 Block R 3 Phase 2 Johar Town, Lahore",54000,Punjab,3336200638,,31.450036,74.2717854
Hotel,Hotel Royal Grand,"Hotel Royal Grand, 339 G3, Lahore, 54782",339 G3,54782,Punjab,3001299940,,31.4724584,74.2723528
Hotel,Hotel zea care,"102/R-3, opp Shaukat Khanum Hospital Rd, Lahore, 54000",opp Shaukat Khanum Hospital Rd,54000,Punjab,3219525695,,31.4450632,74.2694821
Hotel,ZeaCare Inn Hotel,"102 R 3, Near Shaukat Khanum Hospital Rd, Block R 3 Phase 2 Johar Town, Lahore, Punjab",Lahore,,Punjab,4235955333,,31.4500231,74.2719837
Hotel,"Sector C Bahria Town, Lahore, Punjab 53720","Sector C Bahria Town, Lahore, Punjab",Lahore,,Punjab,,,31.3762652,74.1888366
Hotel,Neshaz Hotel  Suites,"260 Haq Road, Block H-2 Block H 2 Phase 2 Johar Town, Lahore, Punjab 54600","Block H-2 Block H 2 Phase 2 Johar Town, Lahore",54600,Punjab,3260999336,,31.4691287,74.2683953
Hotel,Hotel Days Inn Emporium,"259 H Block, near Emporium Mall, Block H 2 Phase 2 Johar Town, Lahore, Punjab 52000","near Emporium Mall, Block H 2 Phase 2 Johar Town, Lahore",52000,Punjab,3096266655,,31.4690657,74.2684683
Hotel,Marcopolo Hotel,"13, Abbott Rd, Lahore, PunjabØŒ Qila Gujjar Singh, Lahore, Punjab 54000","Abbott Rd, Lahore, PunjabØŒ Qila Gujjar Singh, Lahore",54000,Punjab,4236366225,,31.565476,74.329358
Hotel,Hotel Premier Inn,"8- Davis Road oppositØŒ Grand milliniumØŒ Garhi Shahu, Lahore, Punjab 54000",Lahore,54000,Punjab,3214974949,,31.5604763,74.3376846
Hotel,"Ambassador Hotel, Lahore-Pakistan.","7 Davis Road, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,4236316820,,31.5613161,74.3377581
Hotel,"Hotel One The Mall, Lahore","105 A, The MALL, Lahore, 54000",The MALL,54000,Punjab,3412201111,hotelone.mall@hotelone.com.pk,31.5482166,74.3442969
Hotel,Hotel Pak Heritage,"28 Davis Road, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,4236297979,,31.5584106,74.3386688
Hotel,Luxus Grand Hotel,"4 Egerton Rd, near Ewan-e-Iqbal, Garhi Shahu, Lahore, Punjab 54000","near Ewan-e-Iqbal, Garhi Shahu, Lahore",54000,Punjab,3201999955,,31.5616079,74.3305784
Hotel,Rose Palace Hotel (Gulberg),"55-N Gurumangat Rd, Block N Gulberg 2, Lahore, Punjab 54000","Block N Gulberg 2, Lahore",54000,Punjab,3214337172,,31.5226241,74.3555748
Hotel,Hotel Sweet Inn Lahore,"Zafar Ali Road, 2, Aziz avenue, Canal Rd, Gulberg V, Lahore, Punjab 54000","2, Aziz avenue, Canal Rd, Gulberg V, Lahore",54000,Punjab,3214993638,,31.5383338,74.3469078
Hotel,Carlton Tower Hotel Lahore,"14 Empress Rd, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,3330130766,info@carltontowerhotel.net,31.5699986,74.3350958
Hotel,Hotel Tulip Inn Gulberg Lahore,"Plot# 60 B-1, Block B-1 MM Alam Rd, Block B1 Block B 1 Gulberg III, Lahore, Punjab 54660","Block B-1 MM Alam Rd, Block B1 Block B 1 Gulberg III, Lahore",54660,Punjab,3004008465,,31.518094,74.3534409
Hotel,Taj Palace Hotel,"bund road, near rahber travel(Bilal travel, opp. city bus terminal, Kot Muhammad Nagra Town, Lahore, Punjab 54000","near rahber travel(Bilal travel, opp. city bus terminal, Kot Muhammad Nagra Town, Lahore",54000,Punjab,3224845461,Newtajpalacehotel@gmail.com,31.5335903,74.2824436
Hotel,Sheltonâ€™s Rezidor Lahore,"Punjab Region, 71-C Main Boulevard Gulberg, Near Siddique Trade Center, Block H Gulberg 2, Lahore, Punjab 54000","71-C Main Boulevard Gulberg, Near Siddique Trade Center, Block H Gulberg 2, Lahore",54000,Punjab,4235817224,,31.5306279,74.3522675
Hotel,Pearl Continental Hotel,"Shahrah-e-Quaid-e-Azam, G.O.R. - I, Lahore, Punjab",Lahore,,Punjab,42111505505,pchk@pchotels.com,31.5526078,74.338366
Hotel,Hotel Shanghai Davis Road Lahore,"30 Davis Road, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,4236297771,,31.558117,74.3389272
Hotel,Panoramic Hotel Lahore,"55-AØŒ Shahrah-e-Quaid-e-Azam, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,4236299852,,31.5617126,74.3216608
Hotel,Grand Millennium Hotel,"9-A, Davis Road, Garhi Shahu, Lahore, Punjab 54000","Davis Road, Garhi Shahu, Lahore",54000,Punjab,4236301313,,31.560667,74.3383026
Hotel,Amer Hotel,"46 Lower Mall, near M.A.O college, Islampura, Lahore, Punjab 54000","near M.A.O college, Islampura, Lahore",54000,Punjab,4237115015,,31.5648722,74.3042522
Hotel,OBAN Hotel,"81CII, Off, MM Alam Rd, Block C 2 Gulberg III, Lahore, Punjab 54000","Off, MM Alam Rd, Block C 2 Gulberg III, Lahore",54000,Punjab,42111116226,info@obanhotel.pk,31.5104239,74.3486536
Hotel,Hotel Premier Inn (Gulberg),"3 canal Park, Canal Rd, near forces academy, Gulberg III, Lahore, 54000","Canal Rd, near forces academy, Gulberg III",54000,Punjab,3214988884,,31.5328685,74.3397444
Hotel,Rose Palace Hotel (Garden Town),"40-Usman Block, Garden Town, Opp. Barkat MarketØŒ near KFCØŒ Usman Block Garden Town, Lahore, Punjab",Lahore,,Punjab,3004337172,,31.5029095,74.3190564
Hotel,Four Points by Sheraton Lahore,"25 Egerton Rd, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,4236310077,,31.5615625,74.329758
Hotel,"Lahore, Punjab 54000","Lahore, Punjab",Lahore,,Punjab,,,31.5440886,74.3839007
Hotel,Hotel Four Season Inn,"29, Neelum Block Neelam Block Allama Iqbal Town, Lahore, Punjab 54000","Neelum Block Neelam Block Allama Iqbal Town, Lahore",54000,Punjab,3456912369,,31.5216554,74.2974919
Hotel,Royal Elegance Hotel,"Royal elegance hotel, 22 A Justice Sardar Iqbal Rd, Gulberg V, Lahore, Punjab 54000","22 A Justice Sardar Iqbal Rd, Gulberg V, Lahore",54000,Punjab,3028441817,,31.5370814,74.3480048
Hotel,Lahore Backpackers,"H869+MFR, Regal Chowk, Mall Road,, Lahore, Mozang Chungi, Lahore, Punjab 54000","Regal Chowk, Mall Road,, Lahore, Mozang Chungi, Lahore",54000,Punjab,3008866039,,31.5617278,74.3186503
Hotel,CLASSIO MOTEL,"hospital, Jail Road, near Race View, opp. Services Hospital, G.O.R. - I, Lahore, Punjab 54000","Jail Road, near Race View, opp. Services Hospital, G.O.R. - I, Lahore",54000,Punjab,3064000648,,31.5420229,74.3333469
Hotel,Safari Hotel,"Ahmed Arcade, 161 Lahore â€“ Kasur Rd, Fazlia Colony, Lahore, Punjab 54000","161 Lahore â€“ Kasur Rd, Fazlia Colony, Lahore",54000,Punjab,4237429797,,31.520403,74.3260787
Hotel,City View Hotel,"43-A/C, G-Block, Near Main Market, Block G Gulberg 2, Lahore, Punjab 54000","G-Block, Near Main Market, Block G Gulberg 2, Lahore",54000,Punjab,3089178779,cityviewhotelone@gmail.com,31.5260488,74.3478087
Hotel,Al-Asad Hotel,"McLeod Rd, near railway station, Garhi Shahu, Lahore, Punjab 54000","near railway station, Garhi Shahu, Lahore",54000,Punjab,4237655329,asadkhalid16@gmail.com,31.5766297,74.3337124
Hotel,Kamran Hotel,"McLeod Road opposite Australia Masjid, near Railway Station, Lahore, 54000",near Railway Station,54000,Punjab,4236366026,,31.5760887,74.3341085
Hotel,Lahore City Hotel,"Lakshmi Chowk, 1 Abbott Road, Montgomery Park Qila Gujjar Singh, Lahore, Punjab 54000","1 Abbott Road, Montgomery Park Qila Gujjar Singh, Lahore",54000,Punjab,3104044147,,31.5669144,74.3263294
Hotel,City Hotel,"G8CF+6X2, Wahdat Rd, Muslim Town, Lahore, Punjab 54000","Wahdat Rd, Muslim Town, Lahore",54000,Punjab,3034449426,,31.5205029,74.3248758
Hotel,Quick continental Hotel,"11 Shadman, Main Jail Rd, G.O.R. - I, Lahore, Punjab 54000","Main Jail Rd, G.O.R. - I, Lahore",54000,Punjab,3222898222,,31.5427978,74.3303529
Hotel,Gulberg View Hotel,"10 E Hali Rd, Block A Gulberg 2, Lahore, Punjab 54660","Block A Gulberg 2, Lahore",54660,Punjab,4235755942,,31.5234318,74.3461981
Hotel,Faletti's Hotel (Imperial Hotel Management Services),"24 Egerton Rd, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,42111444333,,31.561219,74.327834
Hotel,Al-Haider Hotel,"H88F+QQP, Mcleod Rd, Lakshmi Chowk, Mayo Gardens, Royal Park, Lahore, Punjab 54030","Mcleod Rd, Lakshmi Chowk, Mayo Gardens, Royal Park, Lahore",54030,Punjab,3334553546,,31.5669533,74.3244624
Hotel,Avari Hotel,"Shahrah-e-Quaid-e-Azam, Garhi Shahu, Lahore, Punjab 54000","Garhi Shahu, Lahore",54000,Punjab,4236366366,,31.5590534,74.327362
Hotel,Safari Hotel jail road,"104 service road, Jail Rd, Shadman 2 Lahore, 54000",Jail Rd,54000,Punjab,3364000649,,31.5359328,74.3399128
Hotel,New Kingston Motel,"58 Professor Rd, near Kalma Chowk FlyoverØŒ Block L Gulberg III, Lahore, Punjab 54600","near Kalma Chowk FlyoverØŒ Block L Gulberg III, Lahore",54600,Punjab,3137956384,,31.5035066,74.3329691
Hotel,Lahore,"Lahore, Punjab",Lahore,,Punjab,,,31.5203696,74.3587473
Hotel,New Taj hotel,"bund road, opp. city bus terminal, Sodhiwal, Lahore, Punjab 54000","opp. city bus terminal, Sodhiwal, Lahore",54000,Punjab,3130002332,,31.5336113,74.2826488
Hotel,Hotel Royal Defence,"Street 9, Iqbal Park Lahore, Punjab 54000",Iqbal Park Lahore,54000,Punjab,3366660476,,31.4882458,74.3789729
Hotel,Hotel Gulberg Lodges,"18 E, opposite Hyde Park, Block E2 Block E 2 Gulberg III, Lahore, Punjab 54000","opposite Hyde Park, Block E2 Block E 2 Gulberg III, Lahore",54000,Punjab,3094491817,,31.5103282,74.338348
Hotel,Beverly Inn Hotel,"Airport Rd, near Metro Cash  Carry, Eden Avenue, Lahore, Punjab 54000","near Metro Cash  Carry, Eden Avenue, Lahore",54000,Punjab,,,31.4992883,74.4213631
Hotel,Star Guest House,"43CØŒ CenterØŒ 2, behind New Auriga, Block G Gulberg 2, Lahore, Punjab 54600","behind New Auriga, Block G Gulberg 2, Lahore",54600,Punjab,3174628006,,31.5255866,74.347595
Hotel,The New Taj Mahal Hotel,"Bund Road, near Rahber travel, opp. city bus terminal, Sodhiwal, Lahore, Punjab 54000","near Rahber travel, opp. city bus terminal, Sodhiwal, Lahore",54000,Punjab,3170831840,,31.5337286,74.2824438
Hotel,Faletti's Express Hotel,"Khyaban-e-Jinnah, near Main DHA GateØŒ Iqbal Park Lahore, Punjab 54000",near Main DHA GateØŒ Iqbal Park Lahore,54000,Punjab,4235899815,info@ihms.com.pk,31.4873793,74.3809215
Hotel,"Grand Enclave Hotel, Lahore","New Airport Road, Ghazi RdØŒ Akbar Rd, Lahore, 54000",Ghazi RdØŒ Akbar Rd,54000,Punjab,3331211056,,31.4967632,74.4184036
Hotel,The Le Schanze Hotel,"10-N Main Blvd, Block N Phase 2 Johar Town, Lahore, Punjab 54000","Block N Phase 2 Johar Town, Lahore",54000,Punjab,3074736653,leschanze.hotel@yahoo.com,31.4630983,74.2752506
Hotel,Hotel Visit Inn One,"378, Block D 2 Phase 1 Johar Town, Lahore, Punjab 54782","Block D 2 Phase 1 Johar Town, Lahore",54782,Punjab,3014274946,,31.4561039,74.2873295
Hotel,Grand Swiss HotelApartment's Lahore,"MA, 756-G4 Fatimiyya Rd, Block G 4 Phase 2 Johar Town, Lahore, Punjab 54000","756-G4 Fatimiyya Rd, Block G 4 Phase 2 Johar Town, Lahore",54000,Punjab,3214298155,,31.4696397,74.2697619
Hotel,Cuzzy Inn Hotel,"28- C, Abdalians Cooperative Housing Society, Johar Town, Lahore, 54000","Abdalians Cooperative Housing Society, Johar Town",54000,Punjab,3009774795,revs@cuzzyinnhotel.com,31.4575286,74.2654891
Hotel,HOTEL EXPO VIEW JAHOR TOWN LHR PK,"746 G 4, Block G4 Block G 4 Phase 2 Johar Town, Lahore, Punjab 54000","Block G4 Block G 4 Phase 2 Johar Town, Lahore",54000,Punjab,3214237082,,31.4697224,74.2712387
Hotel,Hotel Tulip Inn Johar Town,"G 3 459 Abdul Haque Rd, Block G3 Block G 3 Phase 2 Johar Town, Lahore, Punjab 54782","Block G3 Block G 3 Phase 2 Johar Town, Lahore",54782,Punjab,3216257535,,31.4704486,74.274574
Hotel,Hotel Premier Inn Johar Town,"R1 BlockØŒ 79ØŒ Main Blvd, Lahore, 54000",Lahore,,Punjab,3064974949,,31.4587394,74.2757425
Hotel,"Lahore, Punjab 54600","Lahore, Punjab",Lahore,,Punjab,,,31.4419157,74.2917529
Hotel,Bright Hotel,"153 Main Blvd, Block M Phase 2 Johar Town, Lahore, Punjab",Lahore,,Punjab,3004928100,Info@tehrangrandhotel.com,31.4680382,74.2738223
Hotel,Safa Hotel,"285 Abdul Haque Rd, Block H-2 Block H 2 Phase 2 Johar Town, Lahore, Punjab",Lahore,,Punjab,3098680605,,31.4682639,74.265022
Hotel,Hotel Premier Inn (Johar Town) Lahore,"79 R, 1 Main Blvd, near Saving Bank  Askari Bank, Phase 2 Johar Town, Lahore, Punjab 54782","1 Main Blvd, near Saving Bank  Askari Bank, Phase 2 Johar Town, Lahore",54782,Punjab,3064974949,,31.4585697,74.2758942
Hotel,Prime Motel,"PIA Society, House No.53 Block-F Near Wapda Town Roundabout,LahoreØŒ Block F Pia Housing Scheme, Lahore, Punjab 54000","House No.53 Block-F Near Wapda Town Roundabout,LahoreØŒ Block F Pia Housing Scheme, Lahore",54000,Punjab,4235211559,Info@tehrangrandhotel.com,31.443232,74.2760616
Hotel,Khyber Hotel,"87, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54000","Block R3 Block R 3 Phase 2 Johar Town, Lahore",54000,Punjab,3014274946,,31.4499127,74.2729795
Hotel,Hotel Premier Inn Grand (Gulberg),"33/A Block G, Oppo Jam-e-Shirin Park, Block G Gulberg III, Lahore, Punjab 54000","Oppo Jam-e-Shirin Park, Block G Gulberg III, Lahore",54000,Punjab,3324988884,,31.5018451,74.3450805
Hotel,Nine Tree Luxury Hotel  Suites,"32-C, Block C3 Gulberg III, Lahore, Punjab 54000","Block C3 Gulberg III, Lahore",54000,Punjab,42111234999,,31.5043991,74.3478744
Hotel,New DOVES INN HOTEL,"Fly Over, 77-K, near CavalryØŒ, Block K Gulberg III, Lahore, Punjab 54660","77-K, near CavalryØŒ, Block K Gulberg III, Lahore",54660,Punjab,3205717722,,31.5008124,74.3540787
Hotel,LOKAL Rooms x Gulberg,"33/A block G Gulberg 3 Lahore Punjab Region, 54000",Lahore,,Punjab,3111156525,info@lokal.pk,31.5018451,74.3450805
Hotel,Park Lane Hotel,"107 MM Alam Rd, Block B3 Block B 3 Gulberg III, Lahore, Punjab 54000","Block B3 Block B 3 Gulberg III, Lahore",54000,Punjab,42111111124,reservations@parklanehotel.pk,31.5035636,74.3493449
Hotel,Best Western Premier Hotel Gulberg Lahore,"110, B-3 MM Alam Rd, Block B3 Block B 3 Gulberg III, Lahore, Punjab 54000","B-3 MM Alam Rd, Block B3 Block B 3 Gulberg III, Lahore",54000,Punjab,4238028888,yahoo@raducretu.ro,31.5032182,74.3492761
Hotel,Hotel 12J,"12J Service Rd, Block J Gulberg III, Lahore, Punjab",Lahore,,Punjab,3189469703,,31.502115,74.3527816
Hotel,Indigo Hotel,"3 C3 Noor Jehan Rd, Block C3 Block C 3 Gulberg III, Lahore, Punjab 54660","Block C3 Block C 3 Gulberg III, Lahore",54660,Punjab,42111463446,info@indigoheights.com,31.5071765,74.3485867
Hotel,Smart Hotel,"36 Noor Jehan Rd, Liberty Market Gulberg III, Lahore, Punjab 54600","Liberty Market Gulberg III, Lahore",54600,Punjab,4235784411,,31.5099125,74.3431396
Hotel,"Golden One Hotel, Gulberg Lahore","150, Block A-2 Gullber III, Lahore, 54660",Block A-2 Gullber III,54660,Punjab,3220200927,,31.5085756,74.3550985
Hotel,Hotel Day IN Gulberg,"18 E-2 Gulberg iii Near Qaddafi Roundabout, adjacent to PTBB office, Block E 2 Gulberg III, Lahore, Punjab 54000","adjacent to PTBB office, Block E 2 Gulberg III, Lahore",54000,Punjab,3226266655,,31.5096917,74.3381937
Hotel,Fortville Hotel - Lahore,"Punjab Region, 53 Commercial Area, Ali Zaib Rd, Cavalry Ground, Lahore, Punjab 54810","53 Commercial Area, Ali Zaib Rd, Cavalry Ground, Lahore",54810,Punjab,3218496666,,31.5015041,74.3622348
Hotel,Grace one hotel,"House no 17.A block E.1 shara E imam Hussain Qaddafi stadium, Block E 1 Gulberg III, Lahore, Punjab 54660","Block E 1 Gulberg III, Lahore",54660,Punjab,3237002201,,31.5154273,74.3354812
Hotel,"Falcon Complex PAF Falcon Complex Gulberg 3, Lahore, Punjab 54660","Falcon Complex PAF Falcon Complex Gulberg 3, Lahore, Punjab",Lahore,,Punjab,,,31.4993227,74.3447133
Hotel,Hilton Suites Gulberg Lahore,"Block B2, 89 A-B II, Mian Mehmood Ali Kasoori Rd, near Hussain Chowk, Gulberg III, Lahore, 54000","89 A-B II, Mian Mehmood Ali Kasoori Rd, near Hussain Chowk, Gulberg III",54000,Punjab,3238000375,sales@hiltonsuiteslahore.pk,31.5076192,74.352737
Hotel,Express Hotel,"106 c, Commercial Area Cavalry Ground, 106 c, Cantt, Lahore, 54000","Commercial Area Cavalry Ground, 106 c, Cantt",54000,Punjab,4236619904,,31.5015134,74.3617936
Hotel,Hotel MayFair,"50-52, E - III, Commercial ZoneØŒ Al Fateh Ln, behind Monal RestaurantØŒ Commercial Area Gulberg III, Lahore, Punjab 54660","E - III, Commercial ZoneØŒ Al Fateh Ln, behind Monal RestaurantØŒ Commercial Area Gulberg III, Lahore",54660,Punjab,3306715000,,31.5094416,74.3416723
